LongTable-checkbox,lineage1,lineage2,lineage3,depmapId,displayName, Primary Disease
TRUE,Cervix,Cervical Adenocarcinoma,,ACH-001341,DOTC24510,Cervical Cancer
TRUE,Ovary,Ovary Adenocarcinoma,,ACH-001063,DOV13,Ovarian Cancer
TRUE,Urinary Tract,Bladder Carcinoma,,ACH-002235,DSH1,Bladder Cancer
TRUE,Prostate,Prostate Adenocarcinoma,,ACH-000979,DU145,Prostate Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000258,DU4475,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000925,DV90,Lung Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000877,EB1,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-001064,EB2,Lymphoma
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-002236,EB3,Lymphoma
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000563,EBC1,Lung Cancer
TRUE,Gastric,Gastric Small Cell,,ACH-000560,ECC10,Gastric Cancer
TRUE,Gastric,Gastric Small Cell,,ACH-000225,ECC12,Gastric Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Extrahepatic,ACH-001997,ECC2,Bile Duct Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002024,ECC4,Colon/Colorectal Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-000305,ECGI10,Esophageal Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000435,EFE184,Endometrial/Uterine Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2neg,ACH-000330,EFM19,Breast Cancer
TRUE,Breast,Breast Adenocarcinoma,ERpos HER2pos,ACH-000117,EFM192A,Breast Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Clear Cell,ACH-000308,EFO21,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Endometrioid,ACH-000936,EFO27,Ovarian Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Extrahepatic,ACH-001494,EGI1,Bile Duct Cancer
TRUE,Lymphocyte,Lymphoma Unspecified,B-cell,ACH-000038,EHEB,Lymphoma
TRUE,Plasma Cell,Multiple Myeloma,,ACH-000821,EJM,Myeloma
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000706,EKVX,Lung Cancer
TRUE,Blood,CML,Blast Crisis,ACH-000295,EM2,Leukemia
TRUE,Lung,NSCLC,,ACH-002101,EMCBAC1,Lung Cancer
TRUE,Lung,NSCLC,,ACH-002102,EMCBAC2,Lung Cancer
TRUE,Uterus,Uterine Carcinosarcoma,,ACH-001495,EMTOKA,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000978,EN,Endometrial/Uterine Cancer
TRUE,Blood,AML,M5,ACH-000198,EOL1,Leukemia
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000585,EPLC272H,Lung Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002103,ES1,Bone Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Clear Cell,ACH-000906,ES2,Ovarian Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002104,ES3,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002105,ES4,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002106,ES5,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002107,ES6,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002108,ES7,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002109,ES8,Bone Cancer
TRUE,Esophagus,Esophagus Adenocarcinoma,,ACH-001496,ESO26,Esophageal Cancer
TRUE,Esophagus,Esophagus Adenocarcinoma,,ACH-001497,ESO51,Esophageal Cancer
TRUE,Uterus,Endometrial Stromal Sarcoma,,ACH-000913,ESS1,Endometrial/Uterine Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-002237,ETK1,Bile Duct Cancer
TRUE,Breast,Breast Carcinoma,,ACH-001065,EVSAT,Breast Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002110,EW1,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002111,EW11,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002112,EW12,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002113,EW13,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002114,EW16,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002115,EW18,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002116,EW22,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002117,EW24,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002118,EW3,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-002119,EW7,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-000499,EW8,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-000279,EWS502,Bone Cancer
TRUE,Bone,Ewing Sarcoma,,ACH-001066,EWS834,Bone Cancer
TRUE,Blood,AML,M6,ACH-000487,F36P,Leukemia
TRUE,Central Nervous System,Meningioma,,ACH-001067,F5,Brain Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000846,FADU,Head and Neck Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell,ACH-001498,FARAGE,Lymphoma
TRUE,Lymphocyte,Lymphoma Unspecified,T-cell,ACH-001068,FEPD,Lymphoma
TRUE,Esophagus,Esophagus Adenocarcinoma,,ACH-001500,FLO1,Esophageal Cancer
TRUE,Thyroid,Thyroid Carcinoma,Anaplastic,ACH-000903,FTC133,Thyroid Cancer
TRUE,Thyroid,Thyroid Carcinoma,Follicular,ACH-000897,FTC238,Thyroid Cancer
TRUE,Gastric,Gastric Adenocarcinoma,Diffuse Gastric,ACH-000633,FU97,Gastric Cancer
TRUE,Soft Tissue,Synovial Sarcoma,,ACH-001272,FUJI,Sarcoma
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-000574,FUOV1,Ovarian Cancer
TRUE,Bone,Osteosarcoma,,ACH-000082,G292CLONEA141B1,Bone Cancer
TRUE,Skin,Melanoma,,ACH-000572,G361,Skin Cancer
TRUE,Kidney,Malignant Rhabdoid Tumor,,ACH-000096,G401,Rhabdoid
TRUE,Soft Tissue,Malignant Rhabdoid Tumor,Renal Leiomyoblastoma,ACH-000375,G402,Kidney Cancer
TRUE,Bile Duct,Gallbladder Adenocarcinoma,,ACH-001850,G415,Gallbladder Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Burkitt,ACH-000162,GA10,Lymphoma
TRUE,Skin,Melanoma,,ACH-002120,GAK,Skin Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000098,GAMG,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000738,GB1,Brain Cancer
TRUE,Bile Duct,Gallbladder Adenocarcinoma,,ACH-001961,GB2,Gallbladder Cancer
TRUE,Unknown,,,ACH-002349,GBM001,Unknown
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000047,GCIY,Gastric Cancer
TRUE,Soft Tissue,Pleomorphic Sarcoma,,ACH-000835,GCT,Sarcoma
TRUE,Blood,AML,,ACH-000081,GDM1,Leukemia
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-002394,GEO,Colon/Colorectal Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000756,GI1,Brain Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001344,GIMEN,Neuroblastoma
TRUE,Colorectal,,,ACH-002332,GISTT1,Colon/Colorectal Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-001071,GLC82,Lung Cancer
TRUE,Skin,Melanoma,,ACH-002121,GMEL,Skin Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000102,GMS10,Brain Cancer
TRUE,Central Nervous System,Glioma,Glioblastoma,ACH-000027,GOS3,Brain Cancer
TRUE,Peripheral Nervous System,Neuroblastoma,,ACH-001716,GOTO,Neuroblastoma
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000982,GP2D,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001345,GP5D,Colon/Colorectal Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,B-cell Mantle Cell,ACH-000073,GRANTA519,Lymphoma
TRUE,Skin,Melanoma,,ACH-001072,GRM,Skin Cancer
TRUE,Blood,ALL,B-cell,ACH-002238,GRST,Leukemia
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000746,GSS,Gastric Cancer
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000485,GSU,Gastric Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-002122,GT3TKB,Lung Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Buccal Mucosa,ACH-001346,H103,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Buccal Mucosa,ACH-001347,H157,Head and Neck Cancer
TRUE,Lung,Mesothelioma,,ACH-002123,H2369,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002124,H2373,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002125,H2461,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002126,H2591,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002127,H2595,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002128,H2722,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002129,H2731,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002130,H2795,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002131,H2803,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002132,H2804,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002133,H2810,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002134,H2818,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002135,H2869,Lung Cancer
TRUE,Lung,Mesothelioma,,ACH-002136,H290,Lung Cancer
TRUE,Upper Aerodigestive,,,ACH-002239,H3118,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Tongue,ACH-001509,H357,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-001510,H376,Head and Neck Cancer
TRUE,Central Nervous System,Glioma,,ACH-000389,H4,Brain Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Buccal Mucosa,ACH-001511,H413,Head and Neck Cancer
TRUE,Lung,NSCLC,NSCLC Adenosquamous,ACH-002138,H513,Lung Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell Cutaneous,ACH-002240,H9,Lymphoma
TRUE,Engineered Kidney,,,ACH-001310,HA1E,Engineered
TRUE,Unknown,,,ACH-002350,HA7EBV,Unknown
TRUE,Kidney,Renal Cell Carcinoma,,ACH-002139,HA7RCC,Kidney Cancer
TRUE,Blood,ALL,B-cell,ACH-002241,HAL01,Leukemia
TRUE,Engineered Blood,CML,,ACH-002475,HAP1,Engineered
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000843,HARA,Lung Cancer
TRUE,Blood,ALL,B-cell,ACH-001736,HB1119,Leukemia
TRUE,Unknown,,,ACH-002321,HBL100,Unknown
TRUE,Blood,Hairy Cell Leukemia,,ACH-002242,HC1,Leukemia
TRUE,Cervix,Cervical Adenocarcinoma,Endocervical,ACH-001513,HCA1,Cervical Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2pos,ACH-001514,HCC1008,Breast Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000374,HCC1143,Breast Cancer
TRUE,Unknown,,,ACH-002378,HCC1143BL,Unknown
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000578,HCC1171,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000111,HCC1187,Breast Cancer
TRUE,Unknown,,,ACH-002373,HCC1187BL,Unknown
TRUE,Lung,NSCLC,NSCLC Adenosquamous,ACH-000868,HCC1195,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000901,HCC1359,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000699,HCC1395,Breast Cancer
TRUE,Unknown,,,ACH-002382,HCC1395BL,Unknown
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2pos,ACH-000277,HCC1419,Breast Cancer
TRUE,Breast,Breast Carcinoma,ERpos HER2neg,ACH-000352,HCC1428,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Large Cell,ACH-000891,HCC1438,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000878,HCC15,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERpos HER2neg,ACH-000349,HCC1500,Breast Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2pos,ACH-000930,HCC1569,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-001078,HCC1588,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000196,HCC1599,Breast Cancer
TRUE,Unknown,,,ACH-002374,HCC1599BL,Unknown
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000624,HCC1806,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000712,HCC1833,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-001079,HCC1897,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000223,HCC1937,Breast Cancer
TRUE,Unknown,,,ACH-002375,HCC1937BL,Unknown
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2pos,ACH-000859,HCC1954,Breast Cancer
TRUE,Unknown,,,ACH-002384,HCC1954BL,Unknown
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2pos,ACH-000725,HCC202,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000314,HCC2108,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000691,HCC2157,Breast Cancer
TRUE,Unknown,,,ACH-002381,HCC2157BL,Unknown
TRUE,Breast,,,ACH-002322,HCC2185,Breast Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2pos,ACH-000755,HCC2218,Breast Cancer
TRUE,Unknown,,,ACH-002383,HCC2218BL,Unknown
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000731,HCC2279,Lung Cancer
TRUE,Lung,NSCLC,,ACH-000143,HCC2429,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000975,HCC2450,Lung Cancer
TRUE,Breast,,,ACH-002323,HCC2688,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000690,HCC2814,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000150,HCC2935,Lung Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001081,HCC2998,Colon/Colorectal Cancer
TRUE,Breast,,,ACH-002324,HCC3153,Breast Cancer
TRUE,Lung,SCLC,,ACH-000515,HCC33,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000575,HCC364,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenosquamous,ACH-000840,HCC366,Lung Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000276,HCC38,Breast Cancer
TRUE,Unknown,,,ACH-002377,HCC38BL,Unknown
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000066,HCC4006,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000667,HCC44,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000339,HCC461,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000872,HCC515,Lung Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000467,HCC56,Colon/Colorectal Cancer
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000668,HCC70,Breast Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000562,HCC78,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000012,HCC827,Lung Cancer
TRUE,Lung,,,ACH-002333,HCC827GR,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000029,HCC827GR5,Lung Cancer
TRUE,Lung,NSCLC,NSCLC Squamous,ACH-000454,HCC95,Lung Cancer
TRUE,Esophagus,Esophagus Squamous,,ACH-002243,HCE4,Esophageal Cancer
TRUE,Unknown,,,ACH-002336,HCET,Unknown
TRUE,Cervix,Cervical Squamous,,ACH-001515,HCS2,Cervical Cancer
TRUE,Cervix,Cervical Carcinoma,Endocervical,ACH-001516,HCSC1,Cervical Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000971,HCT116,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-000997,HCT15,Colon/Colorectal Cancer
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001084,HCT8,Colon/Colorectal Cancer
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000267,HDLM2,Lymphoma
TRUE,Unknown,,,ACH-000190,HDMYZ,Leukemia
TRUE,Breast,Breast Ductal Carcinoma,ERneg HER2neg,ACH-000643,HDQP1,Breast Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-001517,HEC1,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000990,HEC108,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-001518,HEC116,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000972,HEC151,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000954,HEC1A,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000941,HEC1B,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000996,HEC251,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000946,HEC265,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000831,HEC50B,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000994,HEC59,Endometrial/Uterine Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-000984,HEC6,Endometrial/Uterine Cancer
TRUE,Engineered Kidney,,,ACH-000049,HEKTE,Engineered
TRUE,Blood,AML,M6,ACH-000004,HEL,Leukemia
TRUE,Blood,AML,M6,ACH-000005,HEL9217,Leukemia
TRUE,Cervix,Cervical Carcinoma,,ACH-001086,HELA,Cervical Cancer
TRUE,Bone,Chondrosarcoma,,ACH-001519,HEMCSS,Bone Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000625,HEP3B217,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000739,HEPG2,Liver Cancer
TRUE,Ovary,Ovary Adenocarcinoma,High Grade Serous,ACH-002140,HEY,Ovarian Cancer
TRUE,Ovary,Ovary Adenocarcinoma,Low Grade Serous,ACH-000542,HEYA8,Ovarian Cancer
TRUE,Blood,Unspecified Leukemia,B-cell,ACH-001520,HG3,Leukemia
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000847,HGC27,Gastric Cancer
TRUE,Lymphocyte,Non Hodgkin Lymphoma,T-cell Cutaneous,ACH-000061,HH,Lymphoma
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-002026,HHUA,Endometrial/Uterine Cancer
TRUE,Engineered Kidney,,,ACH-001087,HK2,Engineered
TRUE,Skin,Skin Squamous,Keratoacanthoma,ACH-001521,HKA1,Skin Cancer
TRUE,Bile Duct,Cholangiocarcinoma,Intrahepatic,ACH-001852,HKGZCC,Bile Duct Cancer
TRUE,Blood,AML,M3,ACH-000002,HL60,Leukemia
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-001088,HLC1,Lung Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-001089,HLE,Liver Cancer
TRUE,Liver,Hepatocellular Carcinoma,,ACH-000393,HLF,Liver Cancer
TRUE,Fibroblast,Fibroblast Lung,,ACH-000797,HLFA,Fibroblast
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000721,HMC18,Breast Cancer
TRUE,Skin,Melanoma,,ACH-000931,HMCB,Skin Cancer
TRUE,Engineered Breast,,,ACH-000642,HMEL,Engineered
TRUE,Skin,Melanoma,,ACH-002040,HMVII,Skin Cancer
TRUE,Skin,Melanoma,,ACH-001522,HMY1,Skin Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-001090,HN,Head and Neck Cancer
TRUE,Blood,AML,M4,ACH-000299,HNT34,Leukemia
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-002244,HO1N1,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Oral,ACH-002045,HO1U1,Head and Neck Cancer
TRUE,Cervix,Glassy Cell Carcinoma,,ACH-002019,HOKUG,Cervical Cancer
TRUE,Lung,NSCLC,NSCLC Adenocarcinoma,ACH-000861,HOP62,Lung Cancer
TRUE,Lung,NSCLC,,ACH-000825,HOP92,Lung Cancer
TRUE,Bone,Osteosarcoma,,ACH-000613,HOS,Bone Cancer
TRUE,Thyroid,Thyroid Carcinoma,,ACH-002041,HOTHC,Thyroid Cancer
TRUE,Uterus,Endometrial Adenocarcinoma,,ACH-002027,HOUAI,Endometrial/Uterine Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000270,HPAC,Pancreatic Cancer
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000094,HPAFII,Pancreatic Cancer
TRUE,Blood,ALL,T-cell,ACH-000942,HPBALL,Leukemia
TRUE,Colorectal,Colorectal Adenocarcinoma,,ACH-001091,HRT18,Colon/Colorectal Cancer
TRUE,Fibroblast,Fibroblast Urinary Tract,,ACH-000088,HS172T,Fibroblast
TRUE,Fibroblast,Fibroblast Lung,,ACH-000131,HS229T,Fibroblast
TRUE,Fibroblast,Fibroblast Colorectal,,ACH-000199,HS255T,Fibroblast
TRUE,Fibroblast,Fibroblast Breast,,ACH-000134,HS274T,Fibroblast
TRUE,Fibroblast,Fibroblast Breast,,ACH-000083,HS281T,Fibroblast
TRUE,Skin,Melanoma,,ACH-000014,HS294T,Skin Cancer
TRUE,Fibroblast,Fibroblast Breast,,ACH-000184,HS343T,Fibroblast
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-002245,HS445,Lymphoma
TRUE,Ovary,Ovary Carcinoma,,ACH-001092,HS571T,Ovarian Cancer
TRUE,Breast,Breast Carcinoma,ERneg HER2neg,ACH-000148,HS578T,Breast Cancer
TRUE,Fibroblast,Fibroblast Skin,,ACH-000240,HS600T,Fibroblast
TRUE,Fibroblast,Fibroblast Lymphocyte,,ACH-001093,HS604T,Fibroblast
TRUE,Fibroblast,Fibroblast Breast,,ACH-000540,HS606T,Fibroblast
TRUE,Lymphocyte,Hodgkin Lymphoma,,ACH-000069,HS611T,Lymphoma
TRUE,Fibroblast,Fibroblast Lymphocyte,,ACH-000063,HS616T,Fibroblast
TRUE,Fibroblast,Fibroblast Lung,,ACH-000539,HS618T,Fibroblast
TRUE,Soft Tissue,Fibrosarcoma,,ACH-002246,HS633T,Sarcoma
TRUE,Fibroblast,Fibroblast Colorectal,,ACH-000214,HS675T,Fibroblast
TRUE,Central Nervous System,Glioma,Oligodendroglioma,ACH-000067,HS683,Brain Cancer
TRUE,Fibroblast,Fibroblast Skin,,ACH-000306,HS688AT,Fibroblast
TRUE,Skin,Melanoma,Amelanotic,ACH-000799,HS695T,Skin Cancer
TRUE,Fibroblast,Fibroblast Colorectal,,ACH-000850,HS698T,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000071,HS706T,Fibroblast
TRUE,Fibroblast,Fibroblast Soft Tissue,,ACH-000133,HS729,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000185,HS737T,Fibroblast
TRUE,Fibroblast,Fibroblast Breast,,ACH-000413,HS739T,Fibroblast
TRUE,Fibroblast,Fibroblast Breast,,ACH-000230,HS742T,Fibroblast
TRUE,Gastric,Gastric Adenocarcinoma,,ACH-000616,HS746T,Gastric Cancer
TRUE,Fibroblast,Fibroblast Lymphocyte,,ACH-000165,HS751T,Fibroblast
TRUE,Pancreas,Exocrine,Exocrine Adenocarcinoma,ACH-000178,HS766T,Pancreatic Cancer
TRUE,Fibroblast,Fibroblast Bone,,ACH-000224,HS819T,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000526,HS821T,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000229,HS822T,Fibroblast
TRUE,Fibroblast,Fibroblast Skin,,ACH-000275,HS834T,Fibroblast
TRUE,Fibroblast,Fibroblast Skin,,ACH-000180,HS839T,Fibroblast
TRUE,Fibroblast,Fibroblast Upper Aerodigestive,,ACH-000284,HS840T,Fibroblast
TRUE,Skin,Melanoma,,ACH-000274,HS852T,Skin Cancer
TRUE,Bone,Osteosarcoma,,ACH-001712,HS860T,Bone Cancer
TRUE,Fibroblast,Fibroblast Bone,,ACH-000119,HS863T,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000340,HS870T,Fibroblast
TRUE,Fibroblast,Fibroblast Bone,,ACH-000154,HS888T,Fibroblast
TRUE,Fibroblast,Fibroblast Skin,,ACH-000043,HS895T,Fibroblast
TRUE,Fibroblast,Fibroblast Skin,,ACH-000194,HS934T,Fibroblast
TRUE,Skin,Melanoma,,ACH-000801,HS936T,Skin Cancer
TRUE,Skin,Melanoma,,ACH-000814,HS939T,Skin Cancer
TRUE,Fibroblast,Fibroblast Skin,,ACH-000135,HS940T,Fibroblast
TRUE,Skin,Melanoma,,ACH-000632,HS944T,Skin Cancer
TRUE,Blood,ALL,T-cell,ACH-001737,HSB2,Leukemia
TRUE,Skin,Skin Squamous,,ACH-001523,HSC1,Skin Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000472,HSC2,Head and Neck Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000778,HSC3,Head and Neck Cancer
TRUE,Gastric,Gastric Adenocarcinoma,Signet Ring Cell,ACH-002141,HSC39,Gastric Cancer
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,,ACH-000546,HSC4,Head and Neck Cancer
TRUE,Skin,Skin Squamous,,ACH-001524,HSC5,Skin Cancer
TRUE,Ovary,Krukenberg Tumor,,ACH-002038,HSKTC,Ovarian Cancer
TRUE,Bone,Osteosarcoma,,ACH-002069,HSOS1,Bone Cancer
TRUE,Central Nervous System,MPNST,,ACH-002065,HSPSS,Sarcoma
TRUE,Upper Aerodigestive,Upper Aerodigestive Squamous,Sinus,ACH-002044,HSQ89,Head and Neck Cancer
TRUE,Central Nervous System,MPNST,,ACH-002066,HSSCH2,Sarcoma
